question_no,test_type,category,emoji,question_text,question_subtext,choice_order,choice_text,score
48,spending,impulse,🧋,신메뉴/신제품이 나오면 어떤 편인가요?,가장 가까운 행동을 골라주세요.,1,바로 먹어본다/사본다,4
48,spending,impulse,🧋,신메뉴/신제품이 나오면 어떤 편인가요?,가장 가까운 행동을 골라주세요.,2,후기를 보고 결정한다,8
48,spending,impulse,🧋,신메뉴/신제품이 나오면 어떤 편인가요?,가장 가까운 행동을 골라주세요.,3,쿠폰이 있으면 시도한다,7
48,spending,impulse,🧋,신메뉴/신제품이 나오면 어떤 편인가요?,가장 가까운 행동을 골라주세요.,4,굳이 안 해본다,9
49,spending,habit,💡,전기/통신 같은 고정비는 얼마나 신경 쓰나요?,평소 관리 수준을 골라주세요.,1,자주 점검하고 바꾼다,10
49,spending,habit,💡,전기/통신 같은 고정비는 얼마나 신경 쓰나요?,평소 관리 수준을 골라주세요.,2,필요할 때만 비교한다,7
49,spending,habit,💡,전기/통신 같은 고정비는 얼마나 신경 쓰나요?,평소 관리 수준을 골라주세요.,3,거의 신경 안 쓴다,3
49,spending,habit,💡,전기/통신 같은 고정비는 얼마나 신경 쓰나요?,평소 관리 수준을 골라주세요.,4,부모/가족이 관리한다,4
50,spending,risk,🎉,친구들과 모임에서 예상보다 비용이 커지면?,가장 가까운 반응을 골라주세요.,1,분위기 좋으면 신경 안 쓴다,4
50,spending,risk,🎉,친구들과 모임에서 예상보다 비용이 커지면?,가장 가까운 반응을 골라주세요.,2,다음 지출을 줄인다,7
50,spending,risk,🎉,친구들과 모임에서 예상보다 비용이 커지면?,가장 가까운 반응을 골라주세요.,3,애초에 예산을 생각하며 움직인다,10
50,spending,risk,🎉,친구들과 모임에서 예상보다 비용이 커지면?,가장 가까운 반응을 골라주세요.,4,계산할 때 스트레스가 크다,5
51,spending,saving,🪙,잔돈이나 소액 포인트는 어떻게 하나요?,가장 가까운 답을 골라주세요.,1,틈틈이 모은다,10
51,spending,saving,🪙,잔돈이나 소액 포인트는 어떻게 하나요?,가장 가까운 답을 골라주세요.,2,생각날 때만 챙긴다,7
51,spending,saving,🪙,잔돈이나 소액 포인트는 어떻게 하나요?,가장 가까운 답을 골라주세요.,3,거의 신경 안 쓴다,3
51,spending,saving,🪙,잔돈이나 소액 포인트는 어떻게 하나요?,가장 가까운 답을 골라주세요.,4,소액이라 바로 써버린다,4
52,spending,impulse,📦,무료배송 기준 금액이 조금 모자라면?,가장 자주 하는 선택을 골라주세요.,1,아무거나 더 담는다,2
52,spending,impulse,📦,무료배송 기준 금액이 조금 모자라면?,가장 자주 하는 선택을 골라주세요.,2,정말 필요한 게 있는지 본다,10
52,spending,impulse,📦,무료배송 기준 금액이 조금 모자라면?,가장 자주 하는 선택을 골라주세요.,3,배송비를 내는 편이다,8
52,spending,impulse,📦,무료배송 기준 금액이 조금 모자라면?,가장 자주 하는 선택을 골라주세요.,4,다음에 사기로 미룬다,9
53,spending,habit,🍿,OTT나 게임 결제는 어떤 편인가요?,실제 패턴에 맞게 골라주세요.,1,충동적으로 자주 결제한다,3
53,spending,habit,🍿,OTT나 게임 결제는 어떤 편인가요?,실제 패턴에 맞게 골라주세요.,2,즐길 가치가 있으면 결제한다,7
53,spending,habit,🍿,OTT나 게임 결제는 어떤 편인가요?,실제 패턴에 맞게 골라주세요.,3,정기적으로 한도 내에서 쓴다,9
53,spending,habit,🍿,OTT나 게임 결제는 어떤 편인가요?,실제 패턴에 맞게 골라주세요.,4,거의 결제 안 한다,10
54,spending,risk,🧑‍🤝‍🧑,주변 사람이 추천한 물건을 보면?,가장 가까운 행동을 골라주세요.,1,믿고 산다,4
54,spending,risk,🧑‍🤝‍🧑,주변 사람이 추천한 물건을 보면?,가장 가까운 행동을 골라주세요.,2,후기와 가격을 함께 본다,9
54,spending,risk,🧑‍🤝‍🧑,주변 사람이 추천한 물건을 보면?,가장 가까운 행동을 골라주세요.,3,내 필요가 맞아야 산다,10
54,spending,risk,🧑‍🤝‍🧑,주변 사람이 추천한 물건을 보면?,가장 가까운 행동을 골라주세요.,4,추천받아도 잘 안 산다,8
55,spending,saving,💼,큰돈이 들어가는 물건을 살 때 준비 과정은?,평소 습관에 맞게 골라주세요.,1,바로 결정한다,2
55,spending,saving,💼,큰돈이 들어가는 물건을 살 때 준비 과정은?,평소 습관에 맞게 골라주세요.,2,가격 비교를 충분히 한다,10
55,spending,saving,💼,큰돈이 들어가는 물건을 살 때 준비 과정은?,평소 습관에 맞게 골라주세요.,3,후기만 많이 본다,7
55,spending,saving,💼,큰돈이 들어가는 물건을 살 때 준비 과정은?,평소 습관에 맞게 골라주세요.,4,주변 의견을 먼저 듣는다,8
56,spending,impulse,🍕,배가 고프지 않은데 맛집 콘텐츠를 보면?,가장 가까운 반응을 골라주세요.,1,주문부터 한다,2
56,spending,impulse,🍕,배가 고프지 않은데 맛집 콘텐츠를 보면?,가장 가까운 반응을 골라주세요.,2,저장만 해둔다,7
56,spending,impulse,🍕,배가 고프지 않은데 맛집 콘텐츠를 보면?,가장 가까운 반응을 골라주세요.,3,다음 일정과 예산을 보고 정한다,10
56,spending,impulse,🍕,배가 고프지 않은데 맛집 콘텐츠를 보면?,가장 가까운 반응을 골라주세요.,4,금방 잊는다,6
57,spending,habit,🏷️,할인 쿠폰은 어떻게 활용하나요?,실제 행동을 골라주세요.,1,있으면 무조건 쓴다,5
57,spending,habit,🏷️,할인 쿠폰은 어떻게 활용하나요?,실제 행동을 골라주세요.,2,필요한 소비에만 쓴다,10
57,spending,habit,🏷️,할인 쿠폰은 어떻게 활용하나요?,실제 행동을 골라주세요.,3,모아두다 만료된다,3
57,spending,habit,🏷️,할인 쿠폰은 어떻게 활용하나요?,실제 행동을 골라주세요.,4,쿠폰 자체를 잘 안 본다,4
58,spending,risk,🧪,가성비 제품과 프리미엄 제품 중 보통 어떤 쪽인가요?,가장 가까운 소비 기준을 골라주세요.,1,무조건 싼 쪽,6
58,spending,risk,🧪,가성비 제품과 프리미엄 제품 중 보통 어떤 쪽인가요?,가장 가까운 소비 기준을 골라주세요.,2,상황에 따라 다르다,8
58,spending,risk,🧪,가성비 제품과 프리미엄 제품 중 보통 어떤 쪽인가요?,가장 가까운 소비 기준을 골라주세요.,3,오래 쓸 건 좋은 걸 산다,10
58,spending,risk,🧪,가성비 제품과 프리미엄 제품 중 보통 어떤 쪽인가요?,가장 가까운 소비 기준을 골라주세요.,4,비싸 보이면 더 끌린다,4
59,spending,saving,🏠,집에서 먹을 수 있는데 밖에서 사 먹는 빈도는?,실제 패턴을 골라주세요.,1,자주 그렇다,3
59,spending,saving,🏠,집에서 먹을 수 있는데 밖에서 사 먹는 빈도는?,실제 패턴을 골라주세요.,2,주 1~2회 정도,6
59,spending,saving,🏠,집에서 먹을 수 있는데 밖에서 사 먹는 빈도는?,실제 패턴을 골라주세요.,3,일정한 선에서 조절한다,9
59,spending,saving,🏠,집에서 먹을 수 있는데 밖에서 사 먹는 빈도는?,실제 패턴을 골라주세요.,4,가능하면 집에서 해결한다,10
60,spending,impulse,🎀,포장이나 디자인이 예쁘면 구매 확률이 올라가나요?,가장 가까운 답을 골라주세요.,1,많이 올라간다,3
60,spending,impulse,🎀,포장이나 디자인이 예쁘면 구매 확률이 올라가나요?,가장 가까운 답을 골라주세요.,2,조금 영향 있다,6
60,spending,impulse,🎀,포장이나 디자인이 예쁘면 구매 확률이 올라가나요?,가장 가까운 답을 골라주세요.,3,기능/가격이 더 중요하다,10
60,spending,impulse,🎀,포장이나 디자인이 예쁘면 구매 확률이 올라가나요?,가장 가까운 답을 골라주세요.,4,후기 없으면 안 산다,8
61,spending,habit,📆,월별 예산을 미리 정하는 편인가요?,가장 가까운 답을 골라주세요.,1,세부 항목까지 정한다,10
61,spending,habit,📆,월별 예산을 미리 정하는 편인가요?,가장 가까운 답을 골라주세요.,2,대략적으로만 잡는다,7
61,spending,habit,📆,월별 예산을 미리 정하는 편인가요?,가장 가까운 답을 골라주세요.,3,생각은 하지만 잘 안 지킨다,4
61,spending,habit,📆,월별 예산을 미리 정하는 편인가요?,가장 가까운 답을 골라주세요.,4,거의 정하지 않는다,2
62,spending,risk,🧳,여행 준비 시 쇼핑 예산은 어떻게 잡나요?,가장 가까운 행동을 골라주세요.,1,현장에서 분위기 따라 쓴다,4
62,spending,risk,🧳,여행 준비 시 쇼핑 예산은 어떻게 잡나요?,가장 가까운 행동을 골라주세요.,2,대략 한도만 정한다,7
62,spending,risk,🧳,여행 준비 시 쇼핑 예산은 어떻게 잡나요?,가장 가까운 행동을 골라주세요.,3,항목별로 예산을 잡는다,10
62,spending,risk,🧳,여행 준비 시 쇼핑 예산은 어떻게 잡나요?,가장 가까운 행동을 골라주세요.,4,쇼핑은 최소화한다,9
63,spending,saving,📉,이번 달 지출이 많았다고 느끼면 보통?,평소 대처를 골라주세요.,1,다음 달 조정 계획을 세운다,10
63,spending,saving,📉,이번 달 지출이 많았다고 느끼면 보통?,평소 대처를 골라주세요.,2,그냥 다음 달부터 조심한다,7
63,spending,saving,📉,이번 달 지출이 많았다고 느끼면 보통?,평소 대처를 골라주세요.,3,왜 많았는지 잘 안 본다,3
63,spending,saving,📉,이번 달 지출이 많았다고 느끼면 보통?,평소 대처를 골라주세요.,4,할인/쿠폰으로 만회하려 한다,6
64,spending,impulse,🎧,전자기기 신제품 소식을 보면 어떤 편인가요?,가장 가까운 행동을 골라주세요.,1,예약부터 알아본다,3
64,spending,impulse,🎧,전자기기 신제품 소식을 보면 어떤 편인가요?,가장 가까운 행동을 골라주세요.,2,리뷰를 충분히 본다,9
64,spending,impulse,🎧,전자기기 신제품 소식을 보면 어떤 편인가요?,가장 가까운 행동을 골라주세요.,3,지금 기기가 괜찮으면 넘긴다,10
64,spending,impulse,🎧,전자기기 신제품 소식을 보면 어떤 편인가요?,가장 가까운 행동을 골라주세요.,4,할인 시기만 기다린다,8
65,spending,habit,🧹,집에 안 쓰는 물건이 많을 때 보통?,실제 행동을 골라주세요.,1,중고 판매나 정리를 한다,10
65,spending,habit,🧹,집에 안 쓰는 물건이 많을 때 보통?,실제 행동을 골라주세요.,2,그냥 둔다,3
65,spending,habit,🧹,집에 안 쓰는 물건이 많을 때 보통?,실제 행동을 골라주세요.,3,언젠가 쓸 거라 생각한다,4
65,spending,habit,🧹,집에 안 쓰는 물건이 많을 때 보통?,실제 행동을 골라주세요.,4,가끔 정리한다,7
66,future,investment,📈,5년 뒤 자산을 늘리기 위해 가장 중요한 것은 무엇이라고 생각하나요?,직감적으로 골라주세요.,1,꾸준한 저축 습관,9
66,future,investment,📈,5년 뒤 자산을 늘리기 위해 가장 중요한 것은 무엇이라고 생각하나요?,직감적으로 골라주세요.,2,공부한 뒤 하는 투자,10
66,future,investment,📈,5년 뒤 자산을 늘리기 위해 가장 중요한 것은 무엇이라고 생각하나요?,직감적으로 골라주세요.,3,큰 기회를 잡는 감각,7
66,future,investment,📈,5년 뒤 자산을 늘리기 위해 가장 중요한 것은 무엇이라고 생각하나요?,직감적으로 골라주세요.,4,수입을 늘리는 도전,8
67,future,goal,🗺️,미래 재무 목표를 떠올리면 가장 먼저 생각나는 것은?,가장 가까운 항목을 골라주세요.,1,내 집 마련,10
67,future,goal,🗺️,미래 재무 목표를 떠올리면 가장 먼저 생각나는 것은?,가장 가까운 항목을 골라주세요.,2,안정적인 비상금,8
67,future,goal,🗺️,미래 재무 목표를 떠올리면 가장 먼저 생각나는 것은?,가장 가까운 항목을 골라주세요.,3,여행과 경험,6
67,future,goal,🗺️,미래 재무 목표를 떠올리면 가장 먼저 생각나는 것은?,가장 가까운 항목을 골라주세요.,4,경제적 자유,9
68,future,investment,💹,주식이나 펀드 같은 자산에 대해 당신의 태도는?,현재 생각과 가장 가까운 답을 골라주세요.,1,공부해서 천천히 해보고 싶다,10
68,future,investment,💹,주식이나 펀드 같은 자산에 대해 당신의 태도는?,현재 생각과 가장 가까운 답을 골라주세요.,2,이미 조금씩 실천 중이다,9
68,future,investment,💹,주식이나 펀드 같은 자산에 대해 당신의 태도는?,현재 생각과 가장 가까운 답을 골라주세요.,3,관심은 있지만 어렵다,6
68,future,investment,💹,주식이나 펀드 같은 자산에 대해 당신의 태도는?,현재 생각과 가장 가까운 답을 골라주세요.,4,변동성이 무서워 피하고 싶다,4
69,future,goal,🏡,큰돈이 생기면 가장 우선하고 싶은 미래 계획은?,가장 솔직한 답을 골라주세요.,1,안정 자산 확보,10
69,future,goal,🏡,큰돈이 생기면 가장 우선하고 싶은 미래 계획은?,가장 솔직한 답을 골라주세요.,2,수익형 투자,9
69,future,goal,🏡,큰돈이 생기면 가장 우선하고 싶은 미래 계획은?,가장 솔직한 답을 골라주세요.,3,삶의 질 향상,7
69,future,goal,🏡,큰돈이 생기면 가장 우선하고 싶은 미래 계획은?,가장 솔직한 답을 골라주세요.,4,당장 하고 싶은 것 실현,5
70,future,risk,🎢,높은 수익 가능성과 안정성 중 더 끌리는 쪽은?,가장 가까운 태도를 골라주세요.,1,안정성이 더 중요하다,8
70,future,risk,🎢,높은 수익 가능성과 안정성 중 더 끌리는 쪽은?,가장 가까운 태도를 골라주세요.,2,조금 높은 수익이면 감수 가능,10
70,future,risk,🎢,높은 수익 가능성과 안정성 중 더 끌리는 쪽은?,가장 가까운 태도를 골라주세요.,3,수익이 크면 위험도 감수,6
70,future,risk,🎢,높은 수익 가능성과 안정성 중 더 끌리는 쪽은?,가장 가까운 태도를 골라주세요.,4,잘 모르겠다,4
71,future,habit,📚,돈 공부를 위해 시간을 쓴다면 어떤 방식이 좋나요?,가장 가까운 답을 골라주세요.,1,책/유튜브로 꾸준히 공부,10
71,future,habit,📚,돈 공부를 위해 시간을 쓴다면 어떤 방식이 좋나요?,가장 가까운 답을 골라주세요.,2,짧은 콘텐츠로 핵심만 본다,7
71,future,habit,📚,돈 공부를 위해 시간을 쓴다면 어떤 방식이 좋나요?,가장 가까운 답을 골라주세요.,3,주변 사람에게 듣는다,6
71,future,habit,📚,돈 공부를 위해 시간을 쓴다면 어떤 방식이 좋나요?,가장 가까운 답을 골라주세요.,4,공부보다 실전이 낫다,5
72,future,income,💼,미래 자산을 위해 가장 먼저 키우고 싶은 것은?,가장 중요한 요소를 골라주세요.,1,본업 수입,10
72,future,income,💼,미래 자산을 위해 가장 먼저 키우고 싶은 것은?,가장 중요한 요소를 골라주세요.,2,부수입 파이프라인,9
72,future,income,💼,미래 자산을 위해 가장 먼저 키우고 싶은 것은?,가장 중요한 요소를 골라주세요.,3,절약 습관,8
72,future,income,💼,미래 자산을 위해 가장 먼저 키우고 싶은 것은?,가장 중요한 요소를 골라주세요.,4,투자 감각,7
73,future,goal,⏳,장기 목표를 위해 소비를 미루는 것이 가능한 편인가요?,평소 성향에 맞게 골라주세요.,1,꽤 잘하는 편이다,10
73,future,goal,⏳,장기 목표를 위해 소비를 미루는 것이 가능한 편인가요?,평소 성향에 맞게 골라주세요.,2,필요하면 할 수 있다,8
73,future,goal,⏳,장기 목표를 위해 소비를 미루는 것이 가능한 편인가요?,평소 성향에 맞게 골라주세요.,3,가끔 어렵다,5
73,future,goal,⏳,장기 목표를 위해 소비를 미루는 것이 가능한 편인가요?,평소 성향에 맞게 골라주세요.,4,당장 만족이 더 중요하다,3
74,future,investment,🏗️,미래를 위한 돈은 어떤 곳에 쓰는 게 가장 가치 있다고 보나요?,가장 공감되는 항목을 골라주세요.,1,자기계발,9
74,future,investment,🏗️,미래를 위한 돈은 어떤 곳에 쓰는 게 가장 가치 있다고 보나요?,가장 공감되는 항목을 골라주세요.,2,안정 자산 형성,10
74,future,investment,🏗️,미래를 위한 돈은 어떤 곳에 쓰는 게 가장 가치 있다고 보나요?,가장 공감되는 항목을 골라주세요.,3,사업/사이드 프로젝트,8
74,future,investment,🏗️,미래를 위한 돈은 어떤 곳에 쓰는 게 가장 가치 있다고 보나요?,가장 공감되는 항목을 골라주세요.,4,네트워크와 경험,7
75,future,risk,🌊,시장이 흔들릴 때 당신의 예상 반응은?,가장 가까운 답을 골라주세요.,1,추가 공부 후 대응한다,10
75,future,risk,🌊,시장이 흔들릴 때 당신의 예상 반응은?,가장 가까운 답을 골라주세요.,2,일단 관망한다,8
75,future,risk,🌊,시장이 흔들릴 때 당신의 예상 반응은?,가장 가까운 답을 골라주세요.,3,불안해서 바로 정리한다,4
75,future,risk,🌊,시장이 흔들릴 때 당신의 예상 반응은?,가장 가까운 답을 골라주세요.,4,오히려 기회라고 본다,7
76,future,habit,🧩,미래 준비에서 당신이 가장 자신 있는 것은?,가장 가까운 항목을 골라주세요.,1,계획 세우기,10
76,future,habit,🧩,미래 준비에서 당신이 가장 자신 있는 것은?,가장 가까운 항목을 골라주세요.,2,실행력,9
76,future,habit,🧩,미래 준비에서 당신이 가장 자신 있는 것은?,가장 가까운 항목을 골라주세요.,3,기회 포착,7
76,future,habit,🧩,미래 준비에서 당신이 가장 자신 있는 것은?,가장 가까운 항목을 골라주세요.,4,절약 버티기,8
77,future,income,🧑‍💻,부업이나 추가 수입 기회가 생기면 어떤 편인가요?,가장 가까운 답을 골라주세요.,1,가능성을 먼저 계산한다,10
77,future,income,🧑‍💻,부업이나 추가 수입 기회가 생기면 어떤 편인가요?,가장 가까운 답을 골라주세요.,2,재미있으면 시도한다,7
77,future,income,🧑‍💻,부업이나 추가 수입 기회가 생기면 어떤 편인가요?,가장 가까운 답을 골라주세요.,3,시간이 부족해 미룬다,5
77,future,income,🧑‍💻,부업이나 추가 수입 기회가 생기면 어떤 편인가요?,가장 가까운 답을 골라주세요.,4,안정적이지 않으면 안 한다,6
78,future,goal,🧱,미래 자산의 '기초 체력'이라고 느끼는 것은?,가장 공감되는 항목을 골라주세요.,1,비상금,10
78,future,goal,🧱,미래 자산의 '기초 체력'이라고 느끼는 것은?,가장 공감되는 항목을 골라주세요.,2,지출 통제,9
78,future,goal,🧱,미래 자산의 '기초 체력'이라고 느끼는 것은?,가장 공감되는 항목을 골라주세요.,3,꾸준한 수입,8
78,future,goal,🧱,미래 자산의 '기초 체력'이라고 느끼는 것은?,가장 공감되는 항목을 골라주세요.,4,투자 경험,7
79,future,investment,🪴,소액으로라도 장기적으로 키우고 싶은 자산이 있나요?,현재 생각과 가장 가까운 답을 골라주세요.,1,예적금/현금성 자산,8
79,future,investment,🪴,소액으로라도 장기적으로 키우고 싶은 자산이 있나요?,현재 생각과 가장 가까운 답을 골라주세요.,2,주식/ETF,10
79,future,investment,🪴,소액으로라도 장기적으로 키우고 싶은 자산이 있나요?,현재 생각과 가장 가까운 답을 골라주세요.,3,부동산 관련 자산,9
79,future,investment,🪴,소액으로라도 장기적으로 키우고 싶은 자산이 있나요?,현재 생각과 가장 가까운 답을 골라주세요.,4,아직 잘 모르겠다,5
80,future,risk,🎯,한 번의 큰 성공보다 꾸준한 성장이 더 중요하다고 보나요?,가치관에 맞는 답을 골라주세요.,1,매우 그렇다,10
80,future,risk,🎯,한 번의 큰 성공보다 꾸준한 성장이 더 중요하다고 보나요?,가치관에 맞는 답을 골라주세요.,2,대체로 그렇다,8
80,future,risk,🎯,한 번의 큰 성공보다 꾸준한 성장이 더 중요하다고 보나요?,가치관에 맞는 답을 골라주세요.,3,상황에 따라 다르다,6
80,future,risk,🎯,한 번의 큰 성공보다 꾸준한 성장이 더 중요하다고 보나요?,가치관에 맞는 답을 골라주세요.,4,큰 한 방도 중요하다,5
81,future,habit,📅,1년 뒤 금전 목표를 적어본 적이 있나요?,가장 가까운 답을 골라주세요.,1,구체적으로 적어봤다,10
81,future,habit,📅,1년 뒤 금전 목표를 적어본 적이 있나요?,가장 가까운 답을 골라주세요.,2,대략 생각은 해봤다,7
81,future,habit,📅,1년 뒤 금전 목표를 적어본 적이 있나요?,가장 가까운 답을 골라주세요.,3,막연히만 있다,4
81,future,habit,📅,1년 뒤 금전 목표를 적어본 적이 있나요?,가장 가까운 답을 골라주세요.,4,거의 없다,2
82,future,income,🧠,당신에게 돈을 더 벌 가능성이 높은 방식은 무엇 같나요?,직감적으로 골라주세요.,1,지금 하는 일의 전문성 강화,10
82,future,income,🧠,당신에게 돈을 더 벌 가능성이 높은 방식은 무엇 같나요?,직감적으로 골라주세요.,2,새로운 기술 습득,9
82,future,income,🧠,당신에게 돈을 더 벌 가능성이 높은 방식은 무엇 같나요?,직감적으로 골라주세요.,3,사업/판매 도전,8
82,future,income,🧠,당신에게 돈을 더 벌 가능성이 높은 방식은 무엇 같나요?,직감적으로 골라주세요.,4,투자 수익 확대,7
83,future,goal,🔭,10년 뒤 가장 원하는 재무 상태는?,가장 바라는 모습을 골라주세요.,1,빚 없이 안정적인 생활,9
83,future,goal,🔭,10년 뒤 가장 원하는 재무 상태는?,가장 바라는 모습을 골라주세요.,2,꾸준히 불어나는 자산,10
83,future,goal,🔭,10년 뒤 가장 원하는 재무 상태는?,가장 바라는 모습을 골라주세요.,3,원할 때 쉬어도 되는 여유,8
83,future,goal,🔭,10년 뒤 가장 원하는 재무 상태는?,가장 바라는 모습을 골라주세요.,4,하고 싶은 소비를 자유롭게 하는 것,6
84,future,investment,🧮,투자 전 숫자와 데이터를 보는 편인가요?,가장 가까운 태도를 골라주세요.,1,꼼꼼히 보는 편이다,10
84,future,investment,🧮,투자 전 숫자와 데이터를 보는 편인가요?,가장 가까운 태도를 골라주세요.,2,핵심만 보는 편이다,8
84,future,investment,🧮,투자 전 숫자와 데이터를 보는 편인가요?,가장 가까운 태도를 골라주세요.,3,감이 더 중요하다,5
84,future,investment,🧮,투자 전 숫자와 데이터를 보는 편인가요?,가장 가까운 태도를 골라주세요.,4,잘 안 본다,3
85,future,risk,🚦,새로운 기회 앞에서 당신은 보통?,가장 가까운 항목을 골라주세요.,1,충분히 분석한 뒤 움직인다,10
85,future,risk,🚦,새로운 기회 앞에서 당신은 보통?,가장 가까운 항목을 골라주세요.,2,작게 먼저 시도한다,9
85,future,risk,🚦,새로운 기회 앞에서 당신은 보통?,가장 가까운 항목을 골라주세요.,3,기회 같으면 빠르게 간다,7
85,future,risk,🚦,새로운 기회 앞에서 당신은 보통?,가장 가까운 항목을 골라주세요.,4,망설이다 놓친다,4
86,future,habit,🪙,미래를 위해 지금 당장 줄일 수 있는 소비가 있나요?,가장 가까운 답을 골라주세요.,1,이미 알고 있고 줄이는 중이다,10
86,future,habit,🪙,미래를 위해 지금 당장 줄일 수 있는 소비가 있나요?,가장 가까운 답을 골라주세요.,2,생각은 있지만 아직 못 줄였다,6
86,future,habit,🪙,미래를 위해 지금 당장 줄일 수 있는 소비가 있나요?,가장 가까운 답을 골라주세요.,3,딱히 떠오르지 않는다,4
86,future,habit,🪙,미래를 위해 지금 당장 줄일 수 있는 소비가 있나요?,가장 가까운 답을 골라주세요.,4,줄이기보다 더 벌고 싶다,7
87,future,income,🛠️,실력을 돈으로 바꾸는 데 가장 필요한 것은?,가장 중요하다고 느끼는 항목을 골라주세요.,1,꾸준한 실행,10
87,future,income,🛠️,실력을 돈으로 바꾸는 데 가장 필요한 것은?,가장 중요하다고 느끼는 항목을 골라주세요.,2,홍보/노출,8
87,future,income,🛠️,실력을 돈으로 바꾸는 데 가장 필요한 것은?,가장 중요하다고 느끼는 항목을 골라주세요.,3,차별화된 아이디어,9
87,future,income,🛠️,실력을 돈으로 바꾸는 데 가장 필요한 것은?,가장 중요하다고 느끼는 항목을 골라주세요.,4,사람들과의 연결,7
88,future,goal,🌱,미래 자산을 떠올리면 지금 가장 먼저 해야 할 일은?,가장 가까운 항목을 골라주세요.,1,예산 정리,9
88,future,goal,🌱,미래 자산을 떠올리면 지금 가장 먼저 해야 할 일은?,가장 가까운 항목을 골라주세요.,2,목표 금액 설정,10
88,future,goal,🌱,미래 자산을 떠올리면 지금 가장 먼저 해야 할 일은?,가장 가까운 항목을 골라주세요.,3,수입 확대 계획,8
88,future,goal,🌱,미래 자산을 떠올리면 지금 가장 먼저 해야 할 일은?,가장 가까운 항목을 골라주세요.,4,불필요한 소비 파악,9
89,future,investment,🧭,경제 뉴스나 시장 흐름을 보는 이유가 있다면?,가장 가까운 답을 골라주세요.,1,기회를 놓치지 않기 위해,9
89,future,investment,🧭,경제 뉴스나 시장 흐름을 보는 이유가 있다면?,가장 가까운 답을 골라주세요.,2,내 자산 판단을 위해,10
89,future,investment,🧭,경제 뉴스나 시장 흐름을 보는 이유가 있다면?,가장 가까운 답을 골라주세요.,3,그냥 관심 있어서,6
89,future,investment,🧭,경제 뉴스나 시장 흐름을 보는 이유가 있다면?,가장 가까운 답을 골라주세요.,4,거의 보지 않는다,3
90,future,risk,🧪,새로운 투자 상품을 접하면 첫 반응은?,가장 가까운 태도를 골라주세요.,1,원리부터 이해하려 한다,10
90,future,risk,🧪,새로운 투자 상품을 접하면 첫 반응은?,가장 가까운 태도를 골라주세요.,2,주변 후기부터 찾는다,8
90,future,risk,🧪,새로운 투자 상품을 접하면 첫 반응은?,가장 가까운 태도를 골라주세요.,3,수익률만 먼저 본다,5
90,future,risk,🧪,새로운 투자 상품을 접하면 첫 반응은?,가장 가까운 태도를 골라주세요.,4,복잡해 보여서 피한다,4
91,future,habit,📥,미래 대비용 통장을 따로 두는 게 중요하다고 보나요?,가장 가까운 답을 골라주세요.,1,매우 중요하다,10
91,future,habit,📥,미래 대비용 통장을 따로 두는 게 중요하다고 보나요?,가장 가까운 답을 골라주세요.,2,있으면 좋다,8
91,future,habit,📥,미래 대비용 통장을 따로 두는 게 중요하다고 보나요?,가장 가까운 답을 골라주세요.,3,한 통장으로도 충분하다,5
91,future,habit,📥,미래 대비용 통장을 따로 두는 게 중요하다고 보나요?,가장 가까운 답을 골라주세요.,4,잘 모르겠다,4
92,future,income,🚀,당신의 미래 소득을 가장 크게 바꿀 수 있는 것은?,가장 가능성 높은 항목을 골라주세요.,1,직무 전문성,10
92,future,income,🚀,당신의 미래 소득을 가장 크게 바꿀 수 있는 것은?,가장 가능성 높은 항목을 골라주세요.,2,AI/디지털 역량,9
92,future,income,🚀,당신의 미래 소득을 가장 크게 바꿀 수 있는 것은?,가장 가능성 높은 항목을 골라주세요.,3,사람과의 협업 기회,8
92,future,income,🚀,당신의 미래 소득을 가장 크게 바꿀 수 있는 것은?,가장 가능성 높은 항목을 골라주세요.,4,투자 감각,7
93,future,goal,🎓,배움에 돈을 쓰는 것을 어떻게 보나요?,가장 가까운 가치관을 골라주세요.,1,장기적으로 가장 좋은 투자다,10
93,future,goal,🎓,배움에 돈을 쓰는 것을 어떻게 보나요?,가장 가까운 가치관을 골라주세요.,2,필요한 경우에만 한다,7
93,future,goal,🎓,배움에 돈을 쓰는 것을 어떻게 보나요?,가장 가까운 가치관을 골라주세요.,3,비용 대비 효과를 많이 따진다,8
93,future,goal,🎓,배움에 돈을 쓰는 것을 어떻게 보나요?,가장 가까운 가치관을 골라주세요.,4,당장 체감이 적어 망설여진다,5
94,future,investment,🏘️,"부동산, 금융자산, 현금 중 하나를 먼저 키운다면?",지금 생각과 가장 가까운 답을 골라주세요.,1,현금/비상금,8
94,future,investment,🏘️,"부동산, 금융자산, 현금 중 하나를 먼저 키운다면?",지금 생각과 가장 가까운 답을 골라주세요.,2,금융자산,10
94,future,investment,🏘️,"부동산, 금융자산, 현금 중 하나를 먼저 키운다면?",지금 생각과 가장 가까운 답을 골라주세요.,3,실물/부동산 기반 자산,9
94,future,investment,🏘️,"부동산, 금융자산, 현금 중 하나를 먼저 키운다면?",지금 생각과 가장 가까운 답을 골라주세요.,4,아직 판단이 어렵다,5
95,future,risk,⚖️,리스크를 줄이는 가장 좋은 방법은 무엇이라 생각하나요?,가장 공감되는 항목을 골라주세요.,1,분산,10
95,future,risk,⚖️,리스크를 줄이는 가장 좋은 방법은 무엇이라 생각하나요?,가장 공감되는 항목을 골라주세요.,2,무리하지 않는 규모,9
